Trans ID,ของ,วันที่,ชื่อสินค้า,จำนวน,ราคาต่อหน่วย,รวมทั้งสิ้น
541,แป๊ะ,1/24/2023 0:00,ชูรส ถ้วยแดง อายิโนะโมโตะ 250g,1,31,31
782,แป๊ะ,1/26/2023 0:00,น้ำแข็ง,1,5,5
782,แป๊ะ,1/26/2023 0:00,ทิวลี่ทวิน วานิลลา * 12,4,5,20
782,แป๊ะ,1/26/2023 0:00,น้ำจิ้มสุกี้กวางตุ้ง พันท้าย 330g * 6,1,60,60
782,แป๊ะ,1/26/2023 0:00,หมูนุ่มแช่ฟรีส SPC FZ 1kg,1,125,125
646,แป๊ะ,1/26/2023 9:29,ข้าว,4,5,20
646,แป๊ะ,1/26/2023 9:29,กับข้าว 25,2,25,50
646,แป๊ะ,1/26/2023 9:29,เบอร์ดี้ กาแฟกระป๋อง โรบัสต้า แดง 180ml * 30,1,15,15
646,แป๊ะ,1/26/2023 9:29,ขนมหวาน,2,12,24
647,แป๊ะ,1/26/2023 9:29,น้ำ ใหญ่ * 6,1,10,10
675,แป๊ะ,1/26/2023 10:14,แมส * 10,1,12,12
751,แป๊ะ,1/27/2023 0:00,น้ำแข็ง,1,5,5
751,แป๊ะ,1/27/2023 0:00,เอส ขาว ลิ้นจี่ 360ml * 12,1,10,10
751,แป๊ะ,1/27/2023 0:00,ขนมหวาน,2,12,24
751,แป๊ะ,1/27/2023 0:00,จ๋อม เล็ก,1,12,12
766,แป๊ะ,1/27/2023 0:00,ปลาส้ม,1,35,35
766,แป๊ะ,1/27/2023 0:00,ข้าวเหนียว 10,1,10,10
766,แป๊ะ,1/27/2023 0:00,ปลาทูทอด,1,30,30
766,แป๊ะ,1/27/2023 0:00,เบอร์ดี้ กาแฟกระป๋อง โรบัสต้า แดง 180ml * 30,1,15,15
766,แป๊ะ,1/27/2023 0:00,ลอดช่อง ล,1,12,12
766,แป๊ะ,1/27/2023 0:00,ขนมหวาน,1,12,12
766,แป๊ะ,1/27/2023 0:00,ข้าว,2,5,10
,แป๊ะ Total,,,,,1324
35,แพท,1/16/2023 0:00,หมูยอ ARO * 5,1,20,20
35,แพท,1/16/2023 0:00,ข้าวเหนียว,3,5,15
35,แพท,1/16/2023 0:00,กับข้าว 25,1,25,25
70,แพท,1/17/2023 0:00,น้ำหวาน hell blue boy,1,65,65
70,แพท,1/17/2023 0:00,น้ำแข็ง,2,5,10
70,แพท,1/17/2023 0:00,ข้าวเหนียว,3,5,15
70,แพท,1/17/2023 0:00,ไก่เสียบไม้ 35,1,40,40
70,แพท,1/17/2023 0:00,ขนมจีน,2,12,24
94,แพท,1/17/2023 0:00,ไวตามิ้ลค์ vitamilk ขวด 300ml * 24,1,15,15
94,แพท,1/17/2023 0:00,m100/m150 150ml * 50,1,12,12
121,แพท,1/17/2023 0:00,หมูยอ ARO * 5,2,20,40
121,แพท,1/17/2023 0:00,แคปหมู,2,10,20
125,แพท,1/17/2023 0:00,แป้ง protex 50g,1,14,14
125,แพท,1/17/2023 0:00,พริกป่น,1,10,10
126,แพท,1/17/2023 0:00,น้ำแข็ง,1,5,5
169,แพท,1/18/2023 0:00,น้ำแข็ง,1,5,5
169,แพท,1/18/2023 0:00,ไวตามิ้ลค์ vitamilk ขวด 300ml * 24,1,15,15
169,แพท,1/18/2023 0:00,sponsor 250ml * 24,1,12,12
169,แพท,1/18/2023 0:00,แคปหมู,1,10,10
194,แพท,1/18/2023 0:00,แคปหมู,2,10,20
194,แพท,1/18/2023 0:00,ลูกชิ้นไก่ เอ็ม อาร์ 500g,1,68,68
194,แพท,1/18/2023 0:00,ข้าวเหนียว,4,5,20
194,แพท,1/18/2023 0:00,แหนม แท่ง/ก้อน,1,30,30
194,แพท,1/18/2023 0:00,น้ำแข็ง,1,5,5
212,แพท,1/19/2023 0:00,ขนมจีน,2,12,24
212,แพท,1/19/2023 0:00,มาม่า ต้มยำกุ้งน้ำข้น * 40,2,7,14
212,แพท,1/19/2023 0:00,กับข้าว 25,1,25,25
212,แพท,1/19/2023 0:00,ข้าวเหนียว,4,5,20
222,แพท,1/19/2023 0:00,น้ำแข็ง,1,5,5
222,แพท,1/19/2023 0:00,m100/m150 150ml * 50,1,12,12
222,แพท,1/19/2023 0:00,sponsor 250ml * 24,1,12,12
222,แพท,1/19/2023 0:00,แคปหมู,2,10,20
275,แพท,1/19/2023 0:00,มาม่า ต้มยำกุ้งน้ำข้น * 40,2,7,14
275,แพท,1/19/2023 0:00,น้ำจิ้มสุกี้กวางตุ้ง พันท้าย 330g * 6,1,60,60
275,แพท,1/19/2023 0:00,ไข่ไก่,1,5,5
275,แพท,1/19/2023 0:00,ข้าวเหนียว,1,5,5
777,แพท,1/19/2023 0:00,แคปหมู,2,10,20
287,แพท,1/20/2023 0:00,มาม่า ต้มยำกุ้งน้ำข้น * 40,2,7,14
287,แพท,1/20/2023 0:00,ข้าวเหนียว,5,5,25
287,แพท,1/20/2023 0:00,ไก่เสียบไม้ 35,1,40,40
287,แพท,1/20/2023 0:00,ไก่เสียบไม้ เล็ก,2,10,20
302,แพท,1/20/2023 0:00,น้ำแข็ง,1,5,5
302,แพท,1/20/2023 0:00,ไวตามิ้ลค์ vitamilk ขวด 300ml * 24,1,15,15
302,แพท,1/20/2023 0:00,m100/m150 150ml * 50,1,12,12
343,แพท,1/20/2023 0:00,น้ำแข็ง,1,5,5
343,แพท,1/20/2023 0:00,มาม่า ต้มยำกุ้งน้ำข้น * 40,2,7,14
343,แพท,1/20/2023 0:00,แหนม แท่ง/ก้อน,1,30,30
343,แพท,1/20/2023 0:00,ข้าวเหนียว,3,5,15
343,แพท,1/20/2023 0:00,ไข่ไก่,2,5,10
350,แพท,1/20/2023 0:00,แคปหมู,1,10,10
367,แพท,1/21/2023 0:00,น้ำแข็ง,2,5,10
367,แพท,1/21/2023 0:00,แคปหมู,1,10,10
367,แพท,1/21/2023 0:00,ข้าวเหนียว,5,5,25
367,แพท,1/21/2023 0:00,m100/m150 150ml * 50,1,12,12
367,แพท,1/21/2023 0:00,กับข้าว 25,1,25,25
367,แพท,1/21/2023 0:00,ไก่ทอด,1,25,25
367,แพท,1/21/2023 0:00,ขนมจีน,1,12,12
417,แพท,1/21/2023 0:00,ไข่เยี่ยวม้า,4,8,32
417,แพท,1/21/2023 0:00,แคปหมู,2,10,20
417,แพท,1/21/2023 0:00,ช้าง เบียร์,2,60,120
493,แพท,1/24/2023 0:00,ข้าวเหนียว,2,5,10
493,แพท,1/24/2023 0:00,ไก่เสียบไม้ 40,1,40,40
544,แพท,1/24/2023 0:00,ไข่ไก่,5,5,25
544,แพท,1/24/2023 0:00,แคปหมู,1,10,10
544,แพท,1/24/2023 0:00,ข้าว,1,5,5
544,แพท,1/24/2023 0:00,มาม่า ต้มยำกุ้งน้ำข้น * 40,3,7,21
